ID,Nom,ULAN 2,Renvoi dans lettre no,Date 1,Pref Bio2 1,Pref Bio2 2,Pref Bio2 3,Pref Bio2 4,Pref Bio2 5,Pref Bio2 6,Pref Bio2 7,Pref Bio2 8,Pref Bio2 9
#8319,Titian,500031075,1871_05,1871,Venetian,"painter,",ca.,1488-1576,,,,,
#8319,Titian,500031075,1871_09,1871,Venetian,"painter,",ca.,1488-1576,,,,,
#8319,Titian,500031075,1871_02,1871,Venetian,"painter,",ca.,1488-1576,,,,,
#9331,Correggio,500006208,1871_09,1871,Italian,"painter,",ca.,1489-1534,,,,,
#10525,"Ritter, Francine",,1870_01,1870,French,,,,,,,,
#10525,"Ritter, Francine",,1871_06,1871,French,,,,,,,,
#10525,"Ritter, Francine",,1871_08,1871,French,,,,,,,,
#10525,"Ritter, Francine",,1871_09,1871,French,,,,,,,,
#10525,"Ritter, Francine",,1873_03,1873,French,,,,,,,,
#10525,"Ritter, Francine",,1873_04,1873,French,,,,,,,,
#10526,"Ritter, Monsieur",,1870_01,1870,French,,,,,,,,
#10526,"Ritter, Monsieur",,1871_08,1871,French,,,,,,,,
#10526,"Ritter, Monsieur",,1871_09,1871,French,,,,,,,,
#10526,"Ritter, Monsieur",,1873_04,1873,French,,,,,,,,
#10540,"Scholderer, Emil",,1874_01,1874,French,,,,,,,,
#10540,"Scholderer, Emil",,1875_15,1875,French,,,,,,,,
#10540,"Scholderer, Emil",,1878_01,1878,French,,,,,,,,
#10540,"Scholderer, Emil",,1878_11,1878,French,,,,,,,,
#2400,"Hals, Frans",500027794,1877_01,1877,Dutch,"painter,",ca.,1581-1666,,,,,
#1163,"Chardin, Jean-Siméon",500115331,1875_15,1875,French,painter,and,"draftsman,",1699-1779,,,,
#4472,Giorgione,500028290,1871_02,1871,Italian,"painter,",1477-1510,,,,,,
#4472,Giorgione,500028290,1871_09,1871,Italian,"painter,",1477-1510,,,,,,
#4472,Giorgione,500028290,1877_01,1877,Italian,"painter,",1477-1510,,,,,,
#11799,"Schreyer, Christian Adolf",500024778,1871_05,1871,German,"painter,",1828-1899,,,,,,
#11799,"Schreyer, Christian Adolf",500024778,1874_01,1874,German,"painter,",1828-1899,,,,,,
#2798,"Daubigny, Charles François",500115164,1871_02,1871,French,"landscapist,",1817-1878,,,,,,
#2798,"Daubigny, Charles François",500115164,1878_07,1878,French,"landscapist,",1817-1878,,,,,,
#2798,"Daubigny, Charles François",500115164,1878_12,1878,French,"landscapist,",1817-1878,,,,,,
#2798,"Daubigny, Charles François",500115164,1878_13,1878,French,"landscapist,",1817-1878,,,,,,
#2798,"Daubigny, Charles François",500115164,1878_14,1878,French,"landscapist,",1817-1878,,,,,,
