ID,Lieu mentionné,Latitude,Longitude,Renvoi dans lettre no
StringFilter,MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter,
#11133,Dijon,47.322047,5.04148,1858_04
#12041,"Francfort sur le Main, Kunstverein",50.110757,8.6827927,1858_05 1859_02 1883_04 1898_07
#11692,"Paris, galerie Pourtalès",48.8609475,2.3628411,1859_01 1859_03
#8635,"Paris, galerie Lacaze",48.8713582,2.3162755,1860_01 1866_01 1869_02
#11734,"Cassel, Gemäldegalerie Alte Meister",51.3148034,9.4163527,1865_01
#11742,"Bruxelles, Exposition générale des Beaux-Arts",50.843776,4.3597967,1865_03 1865_04 1875_11 1878_14
#8633,"Gand, Exposition nationale",51.0379812,3.7242286,1865_11 1865_12 1865_13
#8634,"Gand, Salon triennal",51.0443707,3.7243896,1865_11 1865_12 1865_13 1877_06 1877_08 1883_01
#11345,"Paris, Exposition Universelle, 1867",48.856614,2.3522219,1865_15 1867_01 1867_03
#8770,Zons-sur-le-Rhin,48.0209815,7.5782626,1867_03
#9775,Vienne,45.525587,4.874339,1865_01 1867_03
#9506,Karlsruhe,49.0068901,8.4036527,1867_03 1900_03
#9665,Düsseldorf,51.2277411,6.7734556,1865_16 1866_01 1866_02 1867_01 1867_02 1867_03 1868_01 1871_02 1875_15
#11206,"Bruxelles, Salon",50.8370901,4.3724313,1869_01
#11320,"Munich, Exposition internationale, 1869",48.1351253,11.5819805,1869_01
#13724,"Paris, Musée du Louvre",48.8606111,2.337644,1858_05 1859_03 1860_01 1863_01 1865_02 1865_03 1865_16 1869_01 1869_02 1871_08 1871_09 1875_04 1875_14 1875_15 1876_04 1876_07 1878_03 1879_04 1879_11 1887_08 1896_10 1896_11 1896_12
#11985,Kronberg im Taunus,50.1826861,8.5201703,1859_03 1862_02 1865_10 1865_16 1869_01 1874_01 1881_12 1886_06 1896_11 1899_05 1900_04 1901_02 1901_03 1901_04 1901_05
#8815,Londres,51.5072178,-0.1275862,1859_03 1863_01 1865_01 1865_02 1865_16 1866_01 1869_01 1871_01 1871_02 1871_03 1871_04 1871_05 1871_06 1871_07 1871_08 1872_01 1872_02 1872_03 1872_04 1873_01 1873_04 1873_05 1874_01 1874_02 1874_03 1874_05 1874_07 1875_02 1875_04 1875_10 1875_11 1875_12 1875_15 1875_16 1875_17 1875_18 1876_03 1876_04 1876_06 1876_16 1876_17 1877_01 1877_04 1877_06 1877_09 1878_01 1878_02 1878_03 1878_05 1878_06 1878_07 1878_08 1878_12 1878_16 1879_05 1879_08 1879_09 1879_11 1879_13 1879_14 1879_15 1879_21 1879_22 1880_08 1880_09 1880_10 1880_15 1880_17 1881_03 1881_05 1882_06 1883_04 1884_08 1884_09 1884_10 1886_03 1886_04 1886_06 1888_01 1888_06 1890_01 1890_03 1890_04 1891_02 1892_02 1894_01 1894_02 1896_03 1896_07 1896_08 1896_09 1897_01 1898_05 1898_07 1899_05
