ID,lieu,lat,lon,Renvoi dans lettre no,Year
#11133,Dijon,47.3215806,5.0414701,1858_04,1858
#12041,Frankfurt,50.1106444,8.6820917,1858_05,1858
#12041,Frankfurt,50.1106444,8.6820917,1859_02,1859
#12041,Frankfurt,50.1106444,8.6820917,1883_04,1883
#12041,Frankfurt,50.1106444,8.6820917,1898_07,1898
#11692,Paris,48.8588897,2.3200410217200766,1859_01,1859
#11692,Paris,48.8588897,2.3200410217200766,1859_03,1859
#8635,Paris,48.8588897,2.3200410217200766,1860_01,1860
#8635,Paris,48.8588897,2.3200410217200766,1866_01,1866
#8635,Paris,48.8588897,2.3200410217200766,1869_02,1869
#11734,Kassel,50.8000011,2.4868314,1865_01,1865
#11742,City of Brussels,50.8465573,4.351697,1865_03,1865
#11742,City of Brussels,50.8465573,4.351697,1865_04,1865
#11742,City of Brussels,50.8465573,4.351697,1875_11,1875
#11742,City of Brussels,50.8465573,4.351697,1878_14,1878
#8633,Ghent,51.0538286,3.7250121,1865_11,1865
#8633,Ghent,51.0538286,3.7250121,1865_12,1865
#8633,Ghent,51.0538286,3.7250121,1865_13,1865
#8634,Ghent,51.0538286,3.7250121,1865_11,1865
#8634,Ghent,51.0538286,3.7250121,1865_12,1865
#8634,Ghent,51.0538286,3.7250121,1865_13,1865
#8634,Ghent,51.0538286,3.7250121,1877_06,1877
#8634,Ghent,51.0538286,3.7250121,1877_08,1877
#8634,Ghent,51.0538286,3.7250121,1883_01,1883
#11345,Paris,48.8588897,2.3200410217200766,1865_15,1865
#11345,Paris,48.8588897,2.3200410217200766,1867_01,1867
#11345,Paris,48.8588897,2.3200410217200766,1867_03,1867
#8770,Zons,51.113320200000004,6.871687147670485,1867_03,1867
#9775,Vienna,48.2083537,16.3725042,1865_01,1865
#9775,Vienna,48.2083537,16.3725042,1867_03,1867
#9506,Karlsruhe,49.0068705,8.4034195,1867_03,1867
#9506,Karlsruhe,49.0068705,8.4034195,1900_03,1900
#9665,Düsseldorf,51.2254018,6.7763137,1865_16,1865
#9665,Düsseldorf,51.2254018,6.7763137,1866_01,1866
#9665,Düsseldorf,51.2254018,6.7763137,1866_02,1866
#9665,Düsseldorf,51.2254018,6.7763137,1867_01,1867
#9665,Düsseldorf,51.2254018,6.7763137,1867_02,1867
#9665,Düsseldorf,51.2254018,6.7763137,1867_03,1867
#9665,Düsseldorf,51.2254018,6.7763137,1868_01,1868
#9665,Düsseldorf,51.2254018,6.7763137,1871_02,1871
#9665,Düsseldorf,51.2254018,6.7763137,1875_15,1875
#11206,City of Brussels,50.8465573,4.351697,1869_01,1869
#11320,Munich,48.1371079,11.5753822,1869_01,1869
#13724,Paris,48.8588897,2.3200410217200766,1858_05,1858
#13724,Paris,48.8588897,2.3200410217200766,1859_03,1859
#13724,Paris,48.8588897,2.3200410217200766,1860_01,1860
#13724,Paris,48.8588897,2.3200410217200766,1863_01,1863
#13724,Paris,48.8588897,2.3200410217200766,1865_02,1865
#13724,Paris,48.8588897,2.3200410217200766,1865_03,1865
#13724,Paris,48.8588897,2.3200410217200766,1865_16,1865
#13724,Paris,48.8588897,2.3200410217200766,1869_01,1869
#13724,Paris,48.8588897,2.3200410217200766,1869_02,1869
#13724,Paris,48.8588897,2.3200410217200766,1871_08,1871
#13724,Paris,48.8588897,2.3200410217200766,1871_09,1871
#13724,Paris,48.8588897,2.3200410217200766,1875_04,1875
#13724,Paris,48.8588897,2.3200410217200766,1875_14,1875
#13724,Paris,48.8588897,2.3200410217200766,1875_15,1875
#13724,Paris,48.8588897,2.3200410217200766,1876_04,1876
#13724,Paris,48.8588897,2.3200410217200766,1876_07,1876
#13724,Paris,48.8588897,2.3200410217200766,1878_03,1878
#13724,Paris,48.8588897,2.3200410217200766,1879_04,1879
#13724,Paris,48.8588897,2.3200410217200766,1879_11,1879
