ID,Nom,Renvoi dans lettre no
#1127,"Fantin-Latour, Henri",1858_01
#10493,"Ottin, Léon",1858_01
#10525,"Ritter, Francine",1858_01
#6708,"Scholderer, Otto",1858_01
#1127,"Fantin-Latour, Henri",1858_02
#10370,"Ferlet, Guillaume",1858_02
#1267,"Legros, Alphonse",1858_02
#10493,"Ottin, Léon",1858_02
#6708,"Scholderer, Otto",1858_02
#10550,"Sinet, Louis René Hippolyte",1858_02
#10555,"Solon, Marc Louis Emanuel",1858_02
#1127,"Fantin-Latour, Henri",1858_03
#10370,"Ferlet, Guillaume",1858_03
#1267,"Legros, Alphonse",1858_03
#2393,"Mozart, Wolfgang Amadeus",1858_03
#10488,"Normand Saint-Marcel, Emile",1858_03
#10493,"Ottin, Léon",1858_03
#8316,Rembrandt,1858_03
#6708,"Scholderer, Otto",1858_03
#10555,"Solon, Marc Louis Emanuel",1858_03
#11940,"Veronese, Paolo",1858_03
#640,"Corot, Jean-Baptiste Camille",1858_04
#1116,"Courbet, Gustave",1858_04
#1127,"Fantin-Latour, Henri",1858_04
#10368,"Fantin-Latour, Marie",1858_04
#10367,"Fantin-Latour, Nathalie",1858_04
#10370,"Ferlet, Guillaume",1858_04
#1499,Holbein,1858_04
#9331,Le Corrège,1858_04
#1267,"Legros, Alphonse",1858_04
#10493,"Ottin, Léon",1858_04
#7495,"Ribeira, Jusepe de, gen. lo Spagnoletto",1858_04
#10525,"Ritter, Francine",1858_04
#10555,"Solon, Marc Louis Emanuel",1858_04
#8319,Titien,1858_04
#10301,"Burnitz, Karl Peter",1858_05
#4546,"Cornelius, Peter von",1858_05
#1116,"Courbet, Gustave",1858_05
#1127,"Fantin-Latour, Henri",1858_05
#10370,"Ferlet, Guillaume",1858_05
#4472,Giorgione,1858_05
#9331,Le Corrège,1858_05
#1267,"Legros, Alphonse",1858_05
#6969,Leys,1858_05
#10493,"Ottin, Léon",1858_05
#10514,"Régamey, Guillaume",1858_05
#10526,"Ritter, Monsieur",1858_05
#6708,"Scholderer, Otto",1858_05
#10555,"Solon, Marc Louis Emanuel",1858_05
#1298,"Vernier, Émile Séraphin",1858_05
#10585,"Willems, Florent",1858_05
#1116,"Courbet, Gustave",1859_01
#11798,Erlanger,1859_01
#1127,"Fantin-Latour, Henri",1859_01
#1267,"Legros, Alphonse",1859_01
#6708,"Scholderer, Otto",1859_01
#7494,"Vélasquez, Diego",1859_01
#10301,"Burnitz, Karl Peter",1859_02
#640,"Corot, Jean-Baptiste Camille",1859_02
#1116,"Courbet, Gustave",1859_02
#163,"Delacroix, Eugène",1859_02
#1127,"Fantin-Latour, Henri",1859_02
#1267,"Legros, Alphonse",1859_02
#1063,"Millet, Jean-François",1859_02
#3352,"Müller, Victor",1859_02
#10493,"Ottin, Léon",1859_02
#10525,"Ritter, Francine",1859_02
#6708,"Scholderer, Otto",1859_02
#10555,"Solon, Marc Louis Emanuel",1859_02
#8319,Titien,1859_02
#1079,"Whistler, James Abbott MacNeill",1859_02
#1116,"Courbet, Gustave",1859_03
#1127,"Fantin-Latour, Henri",1859_03
#1499,Holbein,1859_03
#1267,"Legros, Alphonse",1859_03
#3352,"Müller, Victor",1859_03
#10493,"Ottin, Léon",1859_03
#8343,Raffael,1859_03
#8316,Rembrandt,1859_03
#6708,"Scholderer, Otto",1859_03
#10555,"Solon, Marc Louis Emanuel",1859_03
#7494,"Vélasquez, Diego",1859_03
#1116,"Courbet, Gustave",1860_01
#1127,"Fantin-Latour, Henri",1860_01
#10370,"Ferlet, Guillaume",1860_01
#10429,"La Caze, Louis",1860_01
#1267,"Legros, Alphonse",1860_01
#7887,"Le Sueur, Eustache",1860_01
#3352,"Müller, Victor",1860_01
#10493,"Ottin, Léon",1860_01
#10525,"Ritter, Francine",1860_01
#10526,"Ritter, Monsieur",1860_01
#6708,"Scholderer, Otto",1860_01
#10555,"Solon, Marc Louis Emanuel",1860_01
#7494,"Vélasquez, Diego",1860_01
#10301,"Burnitz, Karl Peter",1862_01
#1163,"Chardin, Jean-Baptiste Siméon",1862_01
#640,"Corot, Jean-Baptiste Camille",1862_01
#1116,"Courbet, Gustave",1862_01
#163,"Delacroix, Eugène",1862_01
#10338,"Desportes, Alexandre-François",1862_01
#10365,"Fantin-Latour, Hélène",1862_01
#1127,"Fantin-Latour, Henri",1862_01
#10366,"Fantin-Latour, Jean-Théodore",1862_01
#10367,"Fantin-Latour, Nathalie",1862_01
#1267,"Legros, Alphonse",1862_01
#1063,"Millet, Jean-François",1862_01
#3352,"Müller, Victor",1862_01
#10493,"Ottin, Léon",1862_01
#6708,"Scholderer, Otto",1862_01
#10064,Schubert,1862_01
#6750,"Schumann, Robert",1862_01
#10555,"Solon, Marc Louis Emanuel",1862_01
#1238,"Wagner, Richard",1862_01
#1127,"Fantin-Latour, Henri",1862_02
#6162,Ritter,1862_02
#10539,"Scholderer, Adolphe",1862_02
#10540,"Scholderer, Emil",1862_02
#6708,"Scholderer, Otto",1862_02
#10301,"Burnitz, Karl Peter",1863_01
#1163,"Chardin, Jean-Baptiste Siméon",1863_01
#8888,Colin,1863_01
#1127,"Fantin-Latour, Henri",1863_01
#10370,"Ferlet, Guillaume",1863_01
#3352,"Müller, Victor",1863_01
#10493,"Ottin, Léon",1863_01
#8316,Rembrandt,1863_01
#10525,"Ritter, Francine",1863_01
#10540,"Scholderer, Emil",1863_01
#10542,"Scholderer, Ida",1863_01
#6708,"Scholderer, Otto",1863_01
#10553,"Snyers, Pieter",1863_01
#10555,"Solon, Marc Louis Emanuel",1863_01
#10301,"Burnitz, Karl Peter",1865_01
#1127,"Fantin-Latour, Henri",1865_01
#4472,Giorgione,1865_01
#1455,"Heilbuth, Ferdinand",1865_01
#1267,"Legros, Alphonse",1865_01
#3352,"Müller, Victor",1865_01
#8316,Rembrandt,1865_01
#10540,"Scholderer, Emil",1865_01
#10542,"Scholderer, Ida",1865_01
#10283,"Becker von Worms, Jakob",1865_02
#2115,Courbet,1865_02
#1116,"Courbet, Gustave",1865_02
#163,"Delacroix, Eugène",1865_02
#10357,"Edwards, Edwin",1865_02
#1127,"Fantin-Latour, Henri",1865_02
#1181,"Géricault, Théodore",1865_02
#10382,"Gerson, Bertha",1865_02
#10383,"Gerson, famille",1865_02
#10400,"Hardy -Alan,",1865_02
#1267,"Legros, Alphonse",1865_02
#1063,"Millet, Jean-François",1865_02
#3352,"Müller, Victor",1865_02
#10525,"Ritter, Francine",1865_02
#6708,"Scholderer, Otto",1865_02
#1079,"Whistler, James Abbott MacNeill",1865_02
#1163,"Chardin, Jean-Baptiste Siméon",1865_03
#1116,"Courbet, Gustave",1865_03
